Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Age 0-10 Female,0.005580626,0.006949883,1.005596227,0.991991099,1.019388,0.160159217,0.05960043,1.016144864,1.004343644,1.028085,-0.000211599,0.000821379,0.997295199,0.97695449,1.018059,0.001754437,0.000863807,1.011469111,1.000399021,1.022662
Age 0-10 Male,0.01062588,0.00643639,1.010682535,0.998012533,1.023513,0.08936745,0.05583833,1.008976797,0.997994446,1.020080,0.000146567,0.000761687,1.001877818,0.982914498,1.021207,0.00228102,0.000802795,1.01493709,1.004609608,1.025371
Age 11-60 All,0.005638577,0.002020643,1.005654504,1.001679526,1.009645,0.050164306,0.017914246,1.005029034,1.001506372,1.008564,-0.000969374,0.000240185,0.987668677,0.981735129,0.993638,0.000619842,0.00025445,1.004037099,1.000787589,1.007297
Age 11-60 Female,0.006618796,0.00247639,1.006640749,1.00176663,1.011539,0.04093923,0.02200495,1.004102315,0.999780977,1.008442,-0.001146288,0.000294205,0.98543463,0.978187894,0.992735,0.000871531,0.000311671,1.005681026,1.001695701,1.009682
Age 11-60 Male,0.004295824,0.002620022,1.004305064,0.999160933,1.009476,0.062394108,0.023160206,1.006258916,1.001701456,1.010837,-0.000730635,0.000311935,0.990691473,0.982968765,0.998475,0.00027752,0.000330018,1.001805508,0.99760233,1.006026
Age 60+All,0.009094543,0.002594048,1.009136024,1.00401826,1.014280,0.088529747,0.023008582,1.008892278,1.004352739,1.013452,-0.001118313,0.000309241,0.985787563,0.978169174,0.993465,0.000653748,0.000326987,1.004258404,1.000083552,1.008451
Age 60+ Female,0.007222839,0.003221964,1.007248987,1.000908202,1.013630,0.074063794,0.028615522,1.007433874,1.001799354,1.013100,-0.001487802,0.000383525,0.981136322,0.971741215,0.990622,0.000582739,0.000406188,1.003794984,0.998613923,1.009003
Age 60+ Male,0.011202999,0.003478112,1.011265988,1.004395532,1.018183,0.104780025,0.030817941,1.010533089,1.004447547,1.016656,-0.000700694,0.000415229,0.99107122,0.98080056,1.001449,0.000733939,0.000437992,1.004782002,0.999190918,1.010404
All: LAG 1,0.0068056,0.001802192,1.006828811,1.003278668,1.010392,0.048464242,0.015854877,1.004858187,1.001740381,1.007986,-5.08359E-05,0.000215119,0.999349512,0.993970652,1.004757,0.000892328,0.000225718,1.005816984,1.002928759,1.008714
Female,0.006602045,0.002146229,1.006623887,1.002398308,1.010867,0.04227036,0.01891788,1.004235983,1.000519266,1.007967,4.09018E-05,0.000255902,1.00052368,0.994120831,1.006968,0.000900497,0.000268887,1.005870392,1.00243056,1.009322
Male,0.007042568,0.002187655,1.007067425,1.002758562,1.011395,0.055953917,0.01919189,1.005611075,1.001835464,1.009401,-0.000164839,0.000261112,0.997892284,0.991376688,1.004451,0.00088126,0.000273943,1.005744624,1.002240657,1.009261
Warm All,0.006533149,0.001602415,1.006554537,1.003398176,1.009721,0.069928831,0.018666306,1.00701739,1.003339852,1.010708,0.000405877,0.000186141,1.005208744,1.000525463,1.009914,0.00072095,0.000226182,1.004697169,1.001806241,1.007596
Warm Female,0.006894516,0.00190723,1.006918338,1.003161331,1.010689,0.04896622,0.02224519,1.00490863,1.000536709,1.009300,0.000681076,0.000221386,1.008755879,1.003168649,1.014374,0.000781528,0.000269052,1.005092857,1.001653575,1.008544
Warm Male,0.006067244,0.001977092,1.006085687,1.002194548,1.009992,0.09560057,0.02298354,1.0096059,1.005068083,1.014164,6.65125E-05,0.000229463,1.000851723,0.995106609,1.006630,0.000643371,0.000279087,1.004190665,1.000626539,1.007767
Cold All,0.007273351,0.002045724,1.007299866,1.003269064,1.011347,0.039292137,0.014365793,1.003936943,1.001114138,1.006768,-0.000775087,0.000254154,0.990127933,0.983834744,0.996461,0.001000226,0.000227691,1.006522649,1.003607174,1.009447
Cold Female,0.006446564,0.002435541,1.006467388,1.001674304,1.011283,0.04067811,0.01711902,1.004076096,1.000712737,1.007451,-0.001000893,0.000301836,0.987270288,0.979822459,0.994775,0.00096097,0.000271115,1.006265853,1.002796196,1.009748
Cold Male,0.008281473,0.00245166,1.00831586,1.003482269,1.013173,0.03766695,0.01718961,1.003773798,1.00039761,1.007161,-0.000501187,0.000305354,0.993605337,0.986022683,1.001246,0.001049506,0.000273018,1.006845112,1.003349137,1.010353
Age 0-10 All,0.00855523,0.005168892,1.008591931,0.998425443,1.018862,0.10210963,0.04441299,1.010263273,1.001507152,1.019096,-0.00045283,0.000614754,0.994220547,0.979004366,1.009673,0.001733426,0.000643186,1.011330982,1.003077802,1.019652
Age 0-10 Female,0.006645766,0.006964337,1.006667898,0.993020139,1.020503,0.12990205,0.05955339,1.013074944,1.001318609,1.024969,-0.001038295,0.000827177,0.986797753,0.966530525,1.007490,0.001413849,0.000865195,1.009232373,0.998169114,1.020418
Age 0-10 Male,0.010106418,0.006452331,1.01015766,0.997463073,1.023014,0.07918555,0.05568014,1.00794999,0.997009727,1.019010,2.52616E-05,0.000768072,1.000323401,0.981232297,1.019786,0.00199518,0.000804331,1.013053131,1.002725205,1.023487
Age 11-60 All,0.006217328,0.002049058,1.006236696,1.002203599,1.010286,0.04483609,0.01804395,1.004493675,1.000947443,1.008052,-6.93411E-05,0.000244405,0.999112828,0.993005376,1.005258,0.000807355,0.000256911,1.005261603,1.001976716,1.008557
Age 11-60 Female,0.007132885,0.002502014,1.007158385,1.002231423,1.012110,0.03825532,0.02209047,1.003832859,0.999495927,1.008189,0.000234682,0.000298143,1.003008446,0.995534132,1.010539,0.000962169,0.000313725,1.006273696,1.002259786,1.010304
Age 11-60 Male,0.004965819,0.002641727,1.004978169,0.999788057,1.010195,0.05358227,0.02317619,1.005372608,1.000816027,1.009950,-0.000482385,0.000315071,0.993844491,0.986019608,1.001731,0.00059653,0.000331197,1.003884974,0.999658059,1.008130
Age 60+All,0.00749166,0.002638379,1.007519793,1.002323131,1.012743,0.04153327,0.02328661,1.004161964,0.999589236,1.008756,7.77851E-05,0.000314801,1.000996145,0.993121692,1.008933,0.000847676,0.000330498,1.005525099,1.001300194,1.009768
Age 60+ Female,0.005546148,0.00327593,1.005561556,0.999125708,1.012039,0.03131466,0.02894991,1.003136374,0.997460514,1.008845,-0.000127072,0.000390683,0.998374802,0.988637066,1.008208,0.000674484,0.000410605,1.004393769,0.999153392,1.009662
Age 60+ Male,0.009684667,0.003502726,1.009731715,1.002823302,1.016688,0.05288698,0.03085533,1.005302708,0.999241341,1.011401,0.000309301,0.00041774,1.003966898,0.993500019,1.014544,0.001042082,0.000438421,1.006796528,1.001188762,1.012436
All: LAG2,0.002788195,0.001832314,1.002792086,0.999197182,1.006400,0.03986688,0.01597839,1.003994645,1.000855289,1.007144,0.00011099,0.000217614,1.001421677,0.995969324,1.006904,0.000546829,0.00022961,1.003560713,1.000629354,1.006501
Female,0.003326478,0.002178328,1.003332017,0.9990574,1.007625,0.02671858,0.01904913,1.002675431,0.998938792,1.006426,0.000105568,0.00025859,1.001352184,0.994876942,1.007870,0.000620074,0.000273102,1.004038616,1.000551311,1.007538
Male,0.002121596,0.002207118,1.002123848,0.997798073,1.006468,0.055808378,0.019186971,1.00559644,1.001821849,1.009385,0.000117514,0.000262234,1.00150531,0.994938106,1.008116,0.000456067,0.000276505,1.002968834,0.999441916,1.006508
Warm All,0.003239991,0.001600632,1.003245245,1.000102758,1.006398,0.052589536,0.018274274,1.005272806,1.001678603,1.008880,0.000289273,0.00018666,1.003709554,0.99902025,1.008421,0.000361255,0.000225821,1.002350917,0.999471342,1.005239
Warm Female,0.005240182,0.001905907,1.005253936,1.001505737,1.009016,0.068057362,0.021762454,1.006828948,1.002543524,1.011133,0.000241526,0.00022253,1.003096322,0.997511816,1.008712,0.000676595,0.000268814,1.004407554,1.000973659,1.007853
Warm Male,0.00076338,0.001974973,1.000763672,0.996897257,1.004645,0.03344003,0.02256114,1.0033496,0.9989226,1.007796,0.000347933,0.000230031,1.00446347,0.998683378,1.010277,-2.96756E-05,0.000278668,0.999807127,0.996263874,1.003363
Cold All,0.002612364,0.002112299,1.002615779,0.998473424,1.006775,0.03461387,0.01471579,1.003467385,1.000577259,1.006366,-0.000185904,0.00025831,0.997623255,0.991179082,1.004109,0.000669742,0.000234612,1.004362814,1.0013653,1.007369
Cold Female,0.001294105,0.002510539,1.001294943,0.996380017,1.006234,0.007310935,0.017545103,1.000731361,0.997295916,1.004179,-0.000143685,0.000306466,0.998162527,0.990517464,1.005867,0.000545967,0.000278982,1.003555091,0.999994559,1.007128
Cold Male,0.004216186,0.002498857,1.004225087,0.999318658,1.009156,0.067492942,0.017336562,1.006772122,1.00335695,1.010199,-0.000237863,0.000306248,0.996959983,0.989329548,1.004649,0.000820124,0.000277567,1.005345039,1.001796219,1.008906
Age 0-10 All,0.008848613,0.005191287,1.008887878,0.99867457,1.019206,0.120350551,0.044421464,1.012107768,1.003333994,1.020958,0.000241216,0.000617575,1.003092338,0.987670484,1.018755,0.001617411,0.000647397,1.010568626,1.002267894,1.018938
Age 0-10 Female,0.006802297,0.00695144,1.006825485,0.993200695,1.020637,0.12004879,0.05935271,1.012077227,1.000371817,1.023920,0.000323485,0.000828463,1.004149196,0.983493881,1.025238,0.001698361,0.000865395,1.011100504,1.000014214,1.022310
Age 0-10 Male,0.010519005,0.006496695,1.010574524,0.997787933,1.023525,0.12063418,0.05572439,1.012136475,1.001142089,1.023252,0.000169697,0.00077153,1.002174482,0.982962785,1.021762,0.001549881,0.000811669,1.010125142,0.999733604,1.020625
Age 11-60 All,0.00229917,0.002075772,1.002301815,0.998232221,1.006388,0.03331256,0.01813234,1.003336811,0.999777342,1.006909,8.08382E-05,0.000246474,1.001035265,0.994864419,1.007244,0.000475131,0.000260327,1.003093128,0.99977181,1.006425
Age 11-60 Female,0.00316801,0.002531883,1.003173033,0.998207128,1.008164,0.01156936,0.02218171,1.001157606,0.996814406,1.005520,0.000121903,0.000300247,1.001561576,0.994045565,1.009134,0.000518442,0.000317763,1.003375556,0.999321797,1.007446
Age 11-60 Male,0.001107572,0.002656043,1.001108186,0.995910114,1.006333,0.062167766,0.023111254,1.006236141,1.001688395,1.010805,2.40393E-05,0.000315905,1.00030775,0.992411212,1.008267,0.000412917,0.000332877,1.002687565,0.998444323,1.006949
Age 60+All,0.002243082,0.002663339,1.0022456,0.997027365,1.007491,0.03194685,0.02327991,1.003199793,0.998632758,1.007788,0.000131496,0.000316181,1.001684571,0.993770296,1.009662,0.000423224,0.000333885,1.002754745,0.998498391,1.007029
Age 60+ Female,0.002949848,0.003299887,1.002954203,0.99648825,1.009462,0.03715878,0.02889505,1.00372279,0.998054343,1.009423,2.07134E-05,0.000392066,1.000265167,0.990474632,1.010152,0.000604447,0.000413745,1.003936634,0.998658701,1.009242
Age 60+ Male,0.001445205,0.003526713,1.00144625,0.994547765,1.008393,0.02600554,0.03077004,1.002603938,0.996575503,1.008669,0.000260079,0.000418272,1.003334564,0.992861013,1.013919,0.000217585,0.000442071,1.001415304,0.995791195,1.007071
All: LAG 3,0.003862162,0.001842368,1.00386963,1.000251152,1.007501,0.041693802,0.016058491,1.004178084,1.001022438,1.007344,-7.82185E-06,0.000219744,0.999899885,0.994402662,1.005427,0.00071528,0.000230637,1.004660146,1.001712466,1.007616
Female,0.003578339,0.002185134,1.003584749,0.999295724,1.007892,0.03238125,0.01909788,1.003243373,0.999495068,1.007006,-9.30924E-05,0.00026072,0.998809127,0.992297291,1.005364,0.000686405,0.000273675,1.004471598,1.000975481,1.007980
Male,0.004209915,0.002216165,1.004218789,0.999866241,1.008590,0.052995303,0.019256852,1.005313598,1.001526351,1.009115,9.72034E-05,0.000264087,1.001244978,0.994633249,1.007901,0.000750366,0.000277413,1.004889292,1.001344035,1.008447
Warm All,0.003710393,0.001601508,1.003717285,1.000571601,1.006873,0.02347441,0.01840728,1.002350198,0.998740408,1.005973,0.000291994,0.000188603,1.003744518,0.999006356,1.008505,0.000480218,0.000225484,1.003126296,1.000248785,1.006012
Warm Female,0.004179708,0.001906658,1.004188455,1.000442756,1.007948,0.02649153,0.02190425,1.002652665,0.998357271,1.006967,0.000198338,0.000224881,1.002541945,0.996901715,1.008214,0.000527128,0.000268297,1.003432207,1.00000823,1.006868
Warm Male,0.00312858,0.001976353,1.003133479,0.999255206,1.007027,0.01971798,0.0227213,1.001973743,0.9975215,1.006446,0.00040755,0.000232226,1.005230273,0.999390735,1.011104,0.000421753,0.00027843,1.002745154,0.999194516,1.006308
Cold All,0.004255922,0.002134218,1.004264991,1.000072857,1.008475,0.051157063,0.014804805,1.005128814,1.002216417,1.008050,-0.000458855,0.00026065,0.994143867,0.98766418,1.000666,0.000879838,0.000236233,1.005735329,1.002713016,1.008767
Cold Female,0.002784917,0.002526503,1.002788798,0.997835317,1.007767,0.03588218,0.01758653,1.003594663,1.000141268,1.007060,-0.000543018,0.000308341,0.993073464,0.985421013,1.000785,0.000762131,0.00027983,1.004966139,1.001389781,1.008555
Cold Male,0.006048327,0.002517035,1.006066655,1.00111556,1.011042,0.06952523,0.01739934,1.006976748,1.003548534,1.010417,-0.000355568,0.000307676,0.995459073,0.987804742,1.003173,0.00102305,0.000278667,1.006671982,1.003104412,1.010252
Age 0-10 All,0.018424486,0.005201636,1.018595264,1.008263233,1.029033,0.138404524,0.044373717,1.013936675,1.005156453,1.022794,-0.000268185,0.000622365,0.996573116,0.981133579,1.012256,0.002609097,0.000645924,1.017103753,1.008768277,1.025508
Age 0-10 Female,0.019890231,0.006951842,1.02008936,1.006284284,1.034084,0.204539542,0.05907819,1.02066457,1.008914125,1.032552,-0.000532754,0.000832481,0.993203942,0.972675721,1.014165,0.002838719,0.000863677,1.01862296,1.007476237,1.029893
Age 0-10 Male,0.017215701,0.006518305,1.017364745,1.004449694,1.030446,0.08341958,0.05576264,1.008376849,0.997415825,1.019458,-5.03152E-05,0.000778248,0.999356173,0.980033308,1.019060,0.002419466,0.000809488,1.015850842,1.005428333,1.026381
Age 11-60 All,0.001511689,0.002087904,1.001512832,0.997422724,1.005620,0.02398824,0.01823069,1.002401703,0.998826298,1.005990,-1.20175E-06,0.000248854,0.999984618,0.99376092,1.006247,0.000483999,0.00026169,1.00315095,0.999812086,1.006501
Age 11-60 Female,0.002055133,0.002539426,1.002057246,0.997082123,1.007057,0.006900527,0.022238584,1.000690291,0.996338012,1.005062,-2.64932E-05,0.000302669,0.999660945,0.992098897,1.007281,0.000532664,0.000318412,1.003468316,0.999405929,1.007547
Age 11-60 Male,0.000770449,0.002668073,1.000770746,0.995550952,1.006018,0.04670019,0.02320478,1.004680941,1.00012189,1.009261,3.27088E-05,0.000317998,1.00041876,0.99246925,1.008432,0.000416958,0.00033434,1.0027139,0.998451938,1.006994
Age 60+All,0.004728039,0.002663336,1.004739234,0.999508022,1.009998,0.05033695,0.02327729,1.005046385,1.000471457,1.009642,3.9376E-05,0.000317533,1.00050414,0.992565531,1.008506,0.000685876,0.000333768,1.004468148,1.000206011,1.008748
Age 60+ Female,0.00331414,0.003298275,1.003319638,0.996854479,1.009827,0.04632132,0.02888046,1.004642877,0.998972091,1.010346,-0.000138935,0.000393813,0.99822321,0.988409354,1.008135,0.000553163,0.000413209,1.003602031,0.998332663,1.008899
Age 60+ Male,0.006344451,0.003524339,1.00636462,0.999436905,1.013340,0.05485892,0.03074556,1.005500967,0.999459908,1.011579,0.000242379,0.000419302,1.003107269,0.992610446,1.013715,0.000838211,0.000441897,1.005463241,0.999818615,1.011140
All: LAG 4,0.002597569,0.001852651,1.002600946,0.998966907,1.006248,0.02096753,0.01610462,1.002098953,0.998940809,1.005267,4.1412E-05,0.000221072,1.000530214,0.994996375,1.006095,0.000414063,0.000231381,1.002695034,0.999743647,1.005655
Female,0.0021158,0.002196045,1.00211804,0.997813945,1.006441,0.01279475,0.01911446,1.001280294,0.997536081,1.005039,-2.90082E-05,0.00026206,0.999628764,0.993078204,1.006223,0.000306769,0.000274423,1.001995987,0.998498983,1.005505
Male,0.003186747,0.002228373,1.00319183,0.998819833,1.007583,0.03092282,0.019339,1.003097068,0.999302082,1.006906,0.000127595,0.000265837,1.001634556,0.994976562,1.008337,0.000545218,0.000278145,1.003550207,1.000000356,1.007113
Warm All,0.002042161,0.001603348,1.002044248,0.998900204,1.005198,0.03135345,0.01835547,1.003140265,0.99953778,1.006756,2.8955E-05,0.000190331,1.000370692,0.995605292,1.005159,0.000296977,0.000224603,1.001932213,0.999069338,1.004803
Warm Female,0.002547899,0.001909499,1.002551148,0.998805994,1.006310,0.02551945,0.02184465,1.002555204,0.998271889,1.006857,2.93331E-05,0.000226851,1.000375534,0.994698334,1.006085,0.000240187,0.000267516,1.001562437,0.998154771,1.004982
Warm Male,0.001414625,0.001977572,1.001415626,0.997541611,1.005305,0.03858085,0.02266378,1.003865537,0.999416155,1.008335,2.84257E-05,0.000234499,1.000363916,0.994495954,1.006267,0.000366127,0.000277003,1.002382659,0.998851462,1.005926
Cold All,0.003849063,0.002153238,1.00385648,0.999628785,1.008102,0.01590395,0.01490891,1.00159166,0.998669135,1.004523,5.20317E-05,0.000261377,1.000666227,0.994125907,1.007250,0.00054225,0.000237803,1.003530843,1.00049514,1.006576
Cold Female,0.00177493,0.002545452,1.001776506,0.996791004,1.006787,0.006612474,0.017651222,1.000661466,0.99720552,1.004129,-0.000143256,0.000308749,0.998167998,0.990466166,1.005930,0.000343849,0.000281217,1.002237515,0.998653217,1.005835
Cold Male,0.0063845,0.002536512,1.006404924,1.001413935,1.011421,0.02710976,0.01753042,1.002714654,0.999275276,1.006166,0.000289775,0.000308126,1.003716012,0.995986941,1.011505,0.000785792,0.000280096,1.005120717,1.001540409,1.008714
Age 0-10 All,0.010261466,0.005244099,1.010314295,0.999983032,1.020752,0.07512693,0.04463147,1.007540984,0.998765687,1.016393,-0.000948756,0.000624889,0.987929364,0.97256216,1.003539,0.001541048,0.000647854,1.01006715,1.001764705,1.018438
Age 0-10 Female,0.011367756,0.007024757,1.011432614,0.997602112,1.025455,0.14674355,0.05947408,1.014782552,1.003021992,1.026681,-0.001318511,0.000837654,0.983264672,0.962816903,1.004147,0.001267221,0.000869877,1.008270955,0.997158752,1.019507
Age 0-10 Male,0.009346469,0.006555732,1.009390284,0.996503362,1.022444,0.01550464,0.05602072,1.001551667,0.990614722,1.012609,-0.000643948,0.000780531,0.991791338,0.972559048,1.011404,0.001763678,0.000808419,1.011529871,1.001165327,1.022002
Age 11-60 All,0.002022752,0.00209913,1.002024799,0.997910643,1.006156,0.01678735,0.01827873,1.001680145,0.998097915,1.005275,0.000162778,0.00025051,1.002085732,0.995807578,1.008403,0.000340912,0.000262445,1.002218382,0.99887301,1.005575
Age 11-60 Female,0.001622344,0.002551012,1.001623661,0.996628058,1.006644,-0.003100912,0.022240987,0.999689957,0.99534156,1.004057,0.000164868,0.000304135,1.002112535,0.994495374,1.009788,0.000303985,0.000319051,1.001977856,0.997913378,1.006059
Age 11-60 Male,0.002545862,0.002679767,1.002549105,0.997297178,1.007829,0.04337958,0.02328924,1.004347381,0.999773293,1.008942,0.000158144,0.000320214,1.002026293,0.994008724,1.010109,0.00038842,0.000334923,1.002527921,0.998259328,1.006815
Age 60+All,0.001840689,0.002674046,1.001842384,0.996605334,1.007107,0.0151964,0.02328911,1.001520795,0.996959606,1.006103,5.26978E-05,0.00031893,1.000674759,0.992699996,1.008714,0.000277698,0.000334286,1.001806669,0.997549245,1.006082
Age 60+ Female,0.001258361,0.003310284,1.001259153,0.994783856,1.007777,0.01611056,0.02887633,1.001612354,0.99595948,1.007297,-0.000154701,0.000395647,0.998021792,0.988164441,1.007977,0.000120708,0.000413748,1.000784908,0.995523506,1.006074
Age 60+ Male,0.002515699,0.003540583,1.002518866,0.995585927,1.009500,0.01421697,0.03078,1.001422708,0.995399432,1.007482,0.000288341,0.000421209,1.003697588,0.993147071,1.014360,0.000458353,0.000442714,1.00298374,0.997342659,1.008657
All: LAG 5,0.002494012,0.001859125,1.002497125,0.998850788,1.006157,0.01170936,0.01614654,1.001171622,0.9980082,1.004345,0.000249869,0.000221717,1.003203443,0.997638689,1.008799,0.000325564,0.000231528,1.002118408,0.999166847,1.005079
Female,0.001702862,0.002203386,1.001704313,0.997387644,1.006040,0.007466381,0.019164022,1.000746917,0.996995014,1.004513,0.000188873,0.000262704,1.002420504,0.99583556,1.009049,0.000142816,0.000274663,1.000928732,0.997432399,1.004437
Male,0.003468986,0.002234165,1.00347501,0.999090437,1.007879,0.01686941,0.01936785,1.001688365,0.997893065,1.005498,0.000324592,0.000266515,1.004163419,0.997471655,1.010900,0.000549744,0.00027789,1.003579729,1.000033022,1.007139
Warm All,0.003071623,0.001606629,1.003076345,0.999922633,1.006240,0.02669178,0.01832905,1.002672743,0.99907711,1.006281,0.000241916,0.000191124,1.003101329,0.998303047,1.007923,0.000108687,0.000224826,1.000706716,0.997844511,1.003577
Warm Female,0.002874212,0.001913538,1.002878347,0.999124061,1.006647,0.01765407,0.02183378,1.001766966,0.997489144,1.006063,0.000187852,0.000227612,1.002407401,0.996699639,1.008148,3.64981E-05,0.000267781,1.000237266,0.996830739,1.003655
Warm Male,0.003312486,0.00197853,1.003317978,0.999434727,1.007216,0.03774946,0.02256194,1.00378208,0.999353015,1.008231,0.000308729,0.000235336,1.003959555,0.998049541,1.009905,0.000197842,0.00027675,1.001286801,0.997762683,1.004823
Cold All,0.002352035,0.002160535,1.002354803,0.998119157,1.006608,0.0066986,0.01496485,1.000670084,0.997739309,1.003609,0.000159701,0.000262154,1.002046258,0.995477496,1.008658,0.000542006,0.000237153,1.003529253,1.000501834,1.006566
Cold Female,0.000405072,0.002552131,1.000405154,0.995413446,1.005422,0.004372487,0.017702493,1.000437344,0.996972153,1.003915,8.56628E-05,0.000309696,1.001097085,0.993349044,1.008906,0.000226452,0.000280493,1.001473022,0.997900668,1.005058
Cold Male,0.004737976,0.002544787,1.004749218,0.999750225,1.009773,0.009465473,0.017597829,1.000946995,0.997500502,1.004405,0.000248474,0.000308772,1.003185534,0.995444417,1.010987,0.000928925,0.000278943,1.006056279,1.002487367,1.009638
Age 0-10 All,0.004363018,0.00523769,1.00437255,0.994114533,1.014736,0.06026416,0.04460093,1.006044611,0.997288317,1.014878,-0.000773374,0.000626959,0.99014965,0.97469728,1.005847,0.000991284,0.000645314,1.006464148,0.998223623,1.014773
Age 0-10 Female,-0.001485501,0.00702161,0.998515602,0.984867803,1.012353,0.02893128,0.05958259,1.002897317,0.991253416,1.014678,0.000237744,0.000838884,1.003047758,0.982158276,1.024382,-0.000284895,0.000867969,0.998149899,0.987173235,1.009249
Age 0-10 Male,0.009157351,0.006542698,1.009199408,0.996340376,1.022224,0.08633707,0.0558903,1.008671085,0.997681899,1.019781,-0.001604649,0.000784348,0.979669994,0.960580755,0.999139,0.002028994,0.000803681,1.01327581,1.002953919,1.023704
Age 11-60 All,0.001256217,0.002107091,1.001257006,0.997130444,1.005401,0.00627553,0.01834495,1.00062775,0.997036343,1.004232,0.000172212,0.000251404,1.002206747,0.995905493,1.008548,0.000157472,0.000262684,1.00102409,0.997679665,1.004380
Age 11-60 Female,0.001140116,0.002557959,1.001140766,0.996134009,1.006173,-0.007162918,0.02230507,0.999283965,0.994924837,1.003662,0.000232534,0.000304967,1.002980872,0.995336324,1.010684,5.8214E-05,0.000319088,1.000378462,0.996319998,1.004453
Age 11-60 Male,0.001424023,0.002690611,1.001425037,0.996157826,1.006720,0.02426871,0.02337297,1.002429818,0.997848088,1.007033,9.02424E-05,0.000321352,1.001155771,0.99311683,1.009260,0.000292497,0.000335148,1.001903038,0.997634246,1.006190
Age 60+All,0.004348081,0.002681385,1.004357548,0.999092978,1.009650,0.009719077,0.023290263,1.00097238,0.996413463,1.005552,0.000635709,0.000319044,1.008170269,1.000132908,1.016272,0.000475039,0.000334195,1.003092522,0.998830793,1.007372
Age 60+ Female,0.003499842,0.003320873,1.003505974,0.996995454,1.010059,0.03201424,0.02887818,1.003206554,0.997544321,1.008901,9.50202E-05,0.000395797,1.001216999,0.991324351,1.011208,0.000403459,0.000414057,1.002625924,0.99735091,1.007929
Age 60+ Male,0.0053136,0.003546983,1.005327742,0.998362855,1.012341,-0.01541814,0.03075157,0.998459374,0.992459452,1.004496,0.001248232,0.000421061,1.016105693,1.005428465,1.026896,0.000555861,0.000441862,1.003619632,0.997985803,1.009285
All: LAG 6,0.002804795,0.00184933,1.002808732,0.999180444,1.006450,0.008159513,0.016261874,1.000816284,0.997631433,1.004011,0.000140561,0.000222451,1.001800803,0.996225464,1.007407,0.000374689,0.000230005,1.002438445,0.999505331,1.005380
Female,0.003003442,0.002192213,1.003007957,0.99870754,1.007327,0.01651977,0.01931606,1.001653342,0.997868305,1.005453,-6.5571E-06,0.000263651,0.999916073,0.993323967,1.006552,0.000325875,0.000272808,1.002120432,0.998643532,1.005609
